movieId,mean_rating_per_movie,rating_count_per_movie
4011,4.0,1432
786,3.1517295597484276,1272
1247,4.073684210526316,1330
1721,3.3703112529928174,2506
1982,3.676706827309237,498
364,3.7773817239144525,3086
1282,3.7540106951871657,935
923,4.131054131054131,1404
307,3.9738675958188154,574
2762,4.043728813559322,2950
344,2.976643309976643,2997
1242,3.9667359667359667,962
272,3.7644151565074133,607
2959,4.158097686375322,3112
70286,3.832797427652733,622
1244,4.045531197301855,593
2329,4.060187741579238,1811
1372,3.3751465416178195,853
590,3.727913120046962,3407
318,4.403654822335025,4925
1265,3.838148001582905,2527
6502,3.757606490872211,986
2542,3.99915611814346,1185
319,3.731958762886598,582
589,3.934893928310168,4101
253,3.5058602906704173,2133
1394,3.914593698175788,1206
595,3.6567811934900543,2765
1784,3.783895796329189,1689
1073,3.710350955131053,2251
2739,3.674943566591422,443
8641,3.5179856115107913,417
2028,4.045439131909122,2949
3082,3.1908177905308466,697
3107,3.3247422680412373,582
4361,3.702791461412151,609
5445,3.689922480620155,1806
4979,3.7476635514018692,963
48780,4.015330188679245,848
2788,3.955456570155902,449
34,3.630278884462151,2510
1961,3.907477138246369,1859
593,4.155253958461855,4863
2067,3.977225672877847,483
527,4.293917147351862,3814
551,3.7061021170610213,1606
784,2.75,1096
2,3.202873563218391,1740
7,3.382936507936508,1008
608,4.099408284023669,3380
858,4.288130185067007,3134
3147,3.9577039274924473,1655
2541,3.3730043541364294,689
3275,3.8971332209106238,593
52973,3.6626506024096384,415
1682,3.82624867162593,1882
1201,4.097112860892389,1143
5952,4.070597362296354,2578
1625,3.8354324097397146,1191
288,3.222047244094488,1905
34405,3.9602763385146806,579
4223,3.667259786476868,562
4886,3.845002672367718,1871
1210,4.004013914905004,3737
44,2.6461159062885327,811
48774,3.841160220994475,724
3623,2.9753492193919473,1217
1396,3.651564185544768,927
3863,3.0486656200941917,637
2405,3.162280701754386,456
246,4.028785982478098,799
260,4.15751002122141,4241
4993,4.07032819825854,2986
4734,3.259259259259259,459
368,3.4136607828089027,1303
5299,3.5018867924528303,795
780,3.3927321668909824,3715
653,3.2152380952380955,1050
1275,3.574418604651163,860
2054,2.7225296442687745,1265
1022,3.541547277936963,698
3175,3.585253456221198,1085
1680,3.6103646833013436,521
1206,3.9413612565445026,1910
2858,4.121656600517688,3477
6807,3.835311572700297,674
161,3.7756714060031595,1899
48516,4.008833922261484,1132
1407,3.3336006415396953,1247
1343,3.5405405405405403,703
1586,2.9751908396946565,524
1380,3.3418367346938775,1176
1923,3.6090861067089275,1893
500,3.4038820455393806,2679
8665,3.870609981515712,1082
32587,3.8257575757575757,1188
2278,3.530848329048843,778
1101,3.5210084033613445,1547
54503,3.7948717948717947,546
316,3.375811688311688,2464
3160,3.8566666666666665,900
471,3.673355629877369,897
648,3.4046242774566475,2941
2335,2.903755868544601,426
2641,3.165016501650165,606
1350,3.605911330049261,406
2012,3.2640750670241285,1492
22,3.3053333333333335,750
329,3.3338034790785143,2127
908,4.19203187250996,1255
1997,3.7659980897803247,1047
4447,3.2258566978193146,642
1485,3.233258088788563,1329
