target_user,other_user,No_common_users
136405,62925,8
136405,59316,8
136405,18901,8
136405,97853,7
136405,88604,7
136405,88549,7
136405,67563,7
136405,91193,7
136405,96859,7
136405,55999,7
136405,14032,7
136405,42935,7
136405,82418,7
136405,39099,7
136405,45711,6
136405,42690,6
136405,41283,6
136405,61168,6
136405,114552,6
136405,38251,6
136405,87679,6
136405,4500,6
136405,32935,6
136405,87475,6
136405,7294,6
136405,35011,6
136405,100969,6
136405,88204,6
136405,11865,6
136405,85662,6
136405,71658,6
136405,47491,6
136405,105498,6
136405,136194,6
136405,67657,6
136405,135632,6
136405,73853,6
136405,21664,6
136405,134857,6
136405,57830,6
136405,95961,6
136405,9485,6
136405,15030,6
136405,78810,6
136405,78728,6
136405,124922,6
136405,119223,6
136405,32780,6
136405,54949,6
136405,37776,6
136405,73170,5
136405,90599,5
136405,60584,5
136405,20398,5
136405,13403,5
136405,20788,5
136405,43525,5
136405,73882,5
136405,47986,5
136405,67111,5
136405,42369,5
136405,104345,5
136405,58117,5
136405,20801,5
136405,4358,5
136405,34807,5
136405,75678,5
136405,1507,5
136405,38148,5
136405,74482,5
136405,97704,5
136405,102705,5
136405,73898,5
136405,101110,5
136405,40058,5
136405,31838,5
136405,20506,5
136405,110847,5
136405,52740,5
136405,55076,5
136405,40063,5
136405,51883,5
136405,108541,5
136405,100418,5
136405,101861,5
136405,28393,5
136405,89402,5
136405,42806,5
136405,89223,5
136405,21171,5
136405,53903,5
136405,45158,5
136405,40117,5
136405,30329,5
136405,91954,5
136405,47450,5
136405,69934,5
136405,36985,5
136405,60834,5
136405,11886,5
136405,26296,5
136405,18706,5
136405,71975,5
136405,64072,5
136405,16840,5
136405,85388,5
136405,11924,5
136405,91096,5
136405,62984,5
136405,51643,5
136405,83968,5
136405,66060,5
136405,55420,5
136405,2198,5
136405,136806,5
136405,15939,5
136405,136072,5
136405,9087,5
136405,68063,5
136405,93177,5
136405,94541,5
136405,107593,5
136405,82188,5
136405,101577,5
136405,56083,5
136405,135082,5
136405,26623,5
136405,67267,5
136405,65033,5
136405,2430,5
136405,114406,5
136405,134000,5
136405,81775,5
136405,19152,5
136405,55479,5
136405,67676,5
136405,133700,5
136405,132712,5
136405,78713,5
136405,74849,5
136405,131467,5
136405,80681,5
136405,131053,5
136405,99524,5
136405,65268,5
136405,130613,5
136405,26808,5
136405,101420,5
136405,129359,5
136405,6207,5
136405,67387,5
136405,79531,5
136405,26863,5
136405,46115,5
136405,78902,5
136405,62040,5
136405,51410,5
136405,78802,5
136405,127116,5
136405,113181,5
136405,126661,5
136405,126474,5
136405,125025,5
136405,20207,5
136405,124163,5
136405,27051,5
136405,39988,5
136405,35973,5
136405,78308,5
136405,122364,5
136405,121930,5
136405,119897,5
136405,3197,5
136405,12767,5
136405,6630,5
136405,65297,5
136405,77045,5
136405,48929,5
136405,90045,5
136405,58088,5
136405,105201,5
136405,77159,5
136405,118632,5
136405,118266,5
136405,10039,5
136405,22411,5
136405,116587,5
136405,32861,5
136405,115800,5
136405,27054,5
136405,101975,4
136405,58139,4
136405,70753,4
136405,74991,4
136405,101789,4
136405,10761,4
136405,45959,4
136405,101785,4
136405,101696,4
136405,4256,4
136405,51614,4
136405,25511,4
136405,23078,4
136405,13623,4
136405,101334,4
136405,27802,4
136405,74539,4
136405,34757,4
136405,18277,4
136405,69946,4
136405,101243,4
136405,58170,4
136405,107823,4
136405,63094,4
136405,57516,4
136405,101171,4
136405,69850,4
136405,101127,4
136405,27854,4
