movieId,mean_rating_per_movie,rating_count_per_movie,pct_rated
364,3.777381723914453,3086,2.2282714649837896
2762,4.043728813559322,2950,2.1300715559631174
344,2.976643309976643,2997,2.1640082892276142
2959,4.158097686375322,3112,2.2470449770024477
590,3.727913120046962,3407,2.4600521325987597
318,4.403654822335025,4925,3.5561364112265603
589,3.934893928310168,4101,2.9611604918660146
2028,4.045439131909122,2949,2.1293494978085534
593,4.155253958461855,4863,3.511368805643607
527,4.293917147351862,3814,2.7539298015062132
608,4.099408284023669,3380,2.4405565624255376
858,4.288130185067007,3134,2.262930256402851
1210,4.004013914905004,3737,2.698331323604803
260,4.15751002122141,4241,3.0622486335049426
4993,4.07032819825854,2986,2.1560656495274126
780,3.3927321668909824,3715,2.6824460442044002
2858,4.121656600517688,3477,2.510596203418223
648,3.4046242774566475,2941,2.1235730325720437
150,3.8496782496782496,3885,2.805195930480241
1580,3.565728535803349,2807,2.0268172398604984
296,4.106120902027667,5277,3.810300881633007
50,4.263829787234043,3525,2.5452549948372845
380,3.473838059047062,3421,2.470160946762652
480,3.6766363242306026,4614,3.3315763251572283
356,4.019643215073161,4989,3.6023481331186415
457,3.996323529411765,3808,2.749597452578831
1,3.9153548387096775,3875,2.797975348934603
592,3.416901408450704,3550,2.5633064487013786
2571,4.129812438302073,4052,2.9257796422923903
1196,4.165432098765432,3645,2.6319019733849367
1198,4.173216444981862,3308,2.3885683752969467
1270,3.918885448916409,3230,2.3322478392409725
377,3.507411982705374,3238,2.3380243044774827
588,3.6675047140163417,3182,2.2975890478219116
110,4.038926499032882,4136,2.986432527275747
47,4.003571428571429,3360,2.4261153993342623
32,3.88126423690205,3512,2.535868238827955
