User,Rank,Item_ID,Title,Predicted_Rating
AG73BVBKUOH22USSFJA5ZWL7AKXA,1,2063,1 X 10 Energizer 377 376 Watch Battery SR626SW SR626W,5.0
AG73BVBKUOH22USSFJA5ZWL7AKXA,2,19220,"3M Micropore Paper Tape - White, 1"" x 10yds (Box of 12)",5.0
AG73BVBKUOH22USSFJA5ZWL7AKXA,3,24943,"6 Pack Reading Glasses by BOOST EYEWEAR, Traditional Frames in Assorted Colors, for Men and Women, with Spring Loaded Hinges",5.0
AG73BVBKUOH22USSFJA5ZWL7AKXA,4,28053,"9 Elements Bathroom Cleaner, Eucalyptus Multi Surface Shower, Tub, & Tile Cleaning Vinegar Spray, 18 oz Bottles (Pack of 3)",5.0
AG73BVBKUOH22USSFJA5ZWL7AKXA,5,29194,"ACDelco 24-Count AA Batteries, Maximum Power Super Alkaline Battery, 10-Year Shelf Life, Reclosable Packaging",5.0
AG73BVBKUOH22USSFJA5ZWL7AKXA,6,29439,ACT Anticavity Fluoride Mouthwash Zero Alcohol 18 fl. oz. Soothing Mint,5.0
AG73BVBKUOH22USSFJA5ZWL7AKXA,7,29671,"ADENSYANG Dental Floss Picks Dispenser - Pop-up Flossers Holder - Automatic Floss Dispenser - Reusable Dental Pick Dispenser, 1 Box 100 Count, Clean Teeth No Break, More Convenient",5.0
AG73BVBKUOH22USSFJA5ZWL7AKXA,8,32920,"ARM & HAMMER Clean Burst HE Liquid Laundry Detergent, 100 loads, 150 Fl Oz (Pack of 1)",5.0
AG73BVBKUOH22USSFJA5ZWL7AKXA,9,34057,"AZO Urinary Tract Infection (UTI) Test Strips, Accurate Results in 2 Minutes, Clinically Tested, Easy to Read Results, Clean Grip Handle, #1 Most Trusted Brand, 3 Count",5.0
AG73BVBKUOH22USSFJA5ZWL7AKXA,10,37144,"Affresh Garbage Disposal Cleaner, Removes Odor-Causing Residues, 9 Tablets [3 Pack]",5.0
AGPC7CWRQPMNQFXWLYJYQYF7DCQA,1,9516,18pcs Sensitive Gum Care Replacement Brush Heads Compatible with Oral b Braun Electric Toothbrush. Soft Bristle for Superior and Gentle Clean.,5.0
AGPC7CWRQPMNQFXWLYJYQYF7DCQA,2,19220,"3M Micropore Paper Tape - White, 1"" x 10yds (Box of 12)",5.0
AGPC7CWRQPMNQFXWLYJYQYF7DCQA,3,29294,"ACE Insoles Active, Shaped by Superfeet, Max Shock Absorption, One Pair, Large",5.0
AGPC7CWRQPMNQFXWLYJYQYF7DCQA,4,31124,"ALINCAS Kingsley Lotion Applicator On Wood Handle,Pack of Single",5.0
AGPC7CWRQPMNQFXWLYJYQYF7DCQA,5,34057,"AZO Urinary Tract Infection (UTI) Test Strips, Accurate Results in 2 Minutes, Clinically Tested, Easy to Read Results, Clean Grip Handle, #1 Most Trusted Brand, 3 Count",5.0
